category,item,axis_or_motor,value,unit,source,status,notes
firmware,v14_boot_marker,value,Q2-CAL-JOG-v14-SAFE-RETRY,version,Core/Src/main.c,rolled-back,V14 safe retry removed after user requested V12 rollback
threshold,EDGE_PATROL_MOVE_RECOVERY_MAX,value,1,attempts,Core/Src/task.c,rolled-back,V14 automatic patrol movement recovery removed from current V12 code
threshold,EDGE_PATROL_MOVE_RECOVERY_WAIT_MS,value,800,ms,Core/Src/task.c,rolled-back,V14 patrol movement recovery wait removed from current V12 code
firmware,v15_boot_marker,value,Q2-CAL-JOG-v15-AUTO-RELAX,version,Core/Src/main.c,rolled-back,run10 showed LT degraded under retry-relax recovery loop
threshold,EDGE_PATROL_RETRY_RELAX_ENABLE,value,0,boolean,Core/Src/task.c,removed,V15 temporary retry-relax removed from current code
failure,v13_rt_abort,waypoint,11,count,serial v13,confirmed,RT failed at step 11 of 28
failure,v13_rt_abort,segment,2,count,serial v13,confirmed,RT segment 2 of 6
failure,v13_rt_abort,motor,4,index,serial v13,confirmed,M4 buffered write timeout
failure,v13_rt_abort,result,TIMEOUT,status,serial v13,confirmed,func=0x10 rx_len=0 expect=8 elapsed=402ms trigger_attempted=0
failure,v13_rt_abort,from_x,12.67,cm,serial v13,confirmed,soft before failed segment
failure,v13_rt_abort,from_y,12.92,cm,serial v13,confirmed,soft before failed segment
failure,v13_rt_abort,to_x,13.33,cm,serial v13,confirmed,failed segment target
failure,v13_rt_abort,to_y,13.83,cm,serial v13,confirmed,failed segment target
failure,v13_rt_abort,laser,"(15.80,11.10)",cm,serial v13,confirmed,laser still not at RT circle when communication failed
failure,v13_rt_abort,circle,"(0.00,0.00)",cm,serial v13,confirmed,vision still saw center circle
calibration,v13_LT_n1,soft_x,-18.16,cm,serial v13 PATROL CAL,confirmed,n=1
calibration,v13_LT_n1,soft_y,15.08,cm,serial v13 PATROL CAL,confirmed,n=1
calibration,v13_LT_n1,err_x,0.20,cm,serial v13 PATROL CAL,confirmed,n=1
calibration,v13_LT_n1,err_y,-0.50,cm,serial v13 PATROL CAL,confirmed,n=1
calibration,v13_LT_n1,enc,"[5180,-8083,23398,20302]",0.1deg,serial v13 PATROL CAL,confirmed,n=1
